일자,종가,종가 등락률,거래량,거래량 등락률,거래대금,거래대금 등락률
2021/11/29,"2,909.32",-0.92,"844,400,434",41.77,"13,092,783,140,665",10.01
2021/11/26,"2,936.44",-1.47,"595,597,647",-0.06,"11,901,297,731,572",26.59
2021/11/25,"2,980.27",-0.47,"595,969,686",7.07,"9,401,090,529,106",-14.25
2021/11/24,"2,994.29",-0.10,"556,640,473",6.18,"10,963,458,592,619",1.23
2021/11/23,"2,997.33",-0.53,"524,233,416",-1.27,"10,830,503,621,150",-16.34
2021/11/22,"3,013.25",1.42,"530,959,176",-19.20,"12,945,532,600,397",17.66
2021/11/19,"2,971.02",0.80,"657,093,788",21.31,"11,002,168,877,105",8.72
2021/11/18,"2,947.38",-0.51,"541,652,823",0.03,"10,119,317,376,788",-5.09
2021/11/17,"2,962.42",-1.16,"541,489,534",-6.58,"10,661,680,483,275",-3.96
2021/11/16,"2,997.21",-0.08,"579,646,335",-9.34,"11,101,212,743,890",-2.64
2021/11/15,"2,999.52",1.03,"639,395,683",-3.96,"11,402,053,251,342",-8.59
2021/11/12,"2,968.80",1.50,"665,733,196",16.21,"12,472,956,374,638",-7.39
2021/11/11,"2,924.92",-0.18,"572,859,058",0.34,"13,468,395,643,103",39.38
2021/11/10,"2,930.17",-1.09,"570,931,752",-19.45,"9,663,221,463,613",-0.22
2021/11/09,"2,962.46",0.08,"708,773,471",26.52,"9,684,977,252,764",-6.77
2021/11/08,"2,960.20",-0.31,"560,205,356",-18.58,"10,388,089,493,103",-18.01
2021/11/05,"2,969.27",-0.47,"688,027,918",-10.88,"12,669,722,983,462",-13.57
2021/11/04,"2,983.22",0.25,"772,023,904",17.21,"14,658,519,584,987",17.85
2021/11/03,"2,975.71",-1.25,"658,648,364",25.25,"12,438,267,928,860",28.72
2021/11/02,"3,013.49",1.16,"525,853,038",10.62,"9,662,968,105,172",2.68
2021/11/01,"2,978.94",0.28,"475,382,111",-12.91,"9,410,799,387,549",-14.72
2021/10/29,"2,970.68",-1.29,"545,833,755",-11.57,"11,035,682,384,856",-10.77
2021/10/28,"3,009.55",-0.53,"617,256,798",1.54,"12,367,618,427,652",21.01
2021/10/27,"3,025.49",-0.77,"607,875,370",7.67,"10,220,672,977,011",7.44
2021/10/26,"3,049.08",0.94,"564,559,805",-28.70,"9,512,681,741,122",-9.31
2021/10/25,"3,020.54",0.48,"791,795,966",13.88,"10,489,293,804,156",15.94
2021/10/22,"3,006.16",-0.04,"695,272,936",-21.65,"9,047,262,545,950",-14.43
2021/10/21,"3,007.33",-0.19,"887,369,794",30.43,"10,572,398,217,802",-5.42
2021/10/20,"3,013.13",-0.53,"680,326,898",-19.55,"11,178,213,476,930",10.54
2021/10/19,"3,029.04",0.74,"845,703,531",-8.71,"10,112,026,428,717",-5.05
2021/10/18,"3,006.68",-0.28,"926,369,474",7.99,"10,649,948,958,411",-15.08
2021/10/15,"3,015.06",0.88,"857,797,842",38.99,"12,540,973,320,207",3.95
2021/10/14,"2,988.64",1.50,"617,170,079",-17.94,"12,064,564,380,622",-1.87
2021/10/13,"2,944.41",0.96,"752,132,429",13.93,"12,294,514,171,307",-3.71
