"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 26일","458.97","462.34","463.90","457.77","112.65M","-2.23%"
"2021년 11월 24일","469.44","466.06","469.57","465.19","61.86M","0.27%"
"2021년 11월 23일","468.19","467.17","469.06","464.47","73.21M","0.13%"
"2021년 11월 22일","467.57","470.89","473.52","467.40","72.76M","-0.28%"
"2021년 11월 19일","468.89","469.61","470.94","468.50","57.32M","-0.18%"
"2021년 11월 18일","469.73","469.24","470.01","466.34","50.63M","0.34%"
"2021년 11월 17일","468.14","469.00","469.19","467.48","46.54M","-0.24%"
"2021년 11월 16일","469.28","467.24","470.48","467.11","48.86M","0.40%"
"2021년 11월 15일","467.43","468.66","468.71","466.25","46.98M","0.03%"
"2021년 11월 12일","467.27","465.12","467.86","464.11","53.47M","0.75%"
"2021년 11월 11일","463.77","465.21","465.29","463.75","34.34M","0.03%"
"2021년 11월 10일","463.62","465.55","467.38","462.06","69.43M","-0.80%"
"2021년 11월 09일","467.38","469.47","469.55","465.88","51.15M","-0.33%"
"2021년 11월 08일","468.93","469.77","470.20","468.22","50.41M","0.09%"
"2021년 11월 05일","468.53","469.28","470.65","466.92","66.39M","0.35%"
"2021년 11월 04일","466.91","465.40","466.99","465.02","52.85M","0.47%"
"2021년 11월 03일","464.72","461.30","465.06","460.83","52.51M","0.61%"
"2021년 11월 02일","461.90","460.29","462.22","460.12","48.91M","0.40%"
"2021년 11월 01일","460.04","460.32","460.68","458.21","48.43M","0.17%"
"2021년 10월 29일","459.25","455.87","459.56","455.56","70.16M","0.20%"
"2021년 10월 28일","458.32","455.68","458.38","455.62","51.44M","0.96%"
"2021년 10월 27일","453.94","456.53","457.11","453.90","72.44M","-0.44%"
"2021년 10월 26일","455.96","457.26","458.48","455.59","56.08M","0.09%"
"2021년 10월 25일","455.55","454.25","455.89","452.40","45.21M","0.54%"
"2021년 10월 22일","453.12","453.13","454.67","451.05","58.85M","-0.10%"
