"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 26일","15,491.7","15,664.4","15,731.5","15,456.1","781.49M","-2.23%"
"2021년 11월 24일","15,845.2","15,677.9","15,848.6","15,591.4","842.33M","0.44%"
"2021년 11월 23일","15,775.1","15,809.5","15,895.9","15,601.5","1.07B","-0.50%"
"2021년 11월 22일","15,854.8","16,120.9","16,212.2","15,851.0","1.13B","-1.26%"
"2021년 11월 19일","16,057.4","16,042.2","16,121.1","16,017.2","1.02B","0.40%"
"2021년 11월 18일","15,993.7","15,973.4","16,010.9","15,848.8","1.08B","0.45%"
"2021년 11월 17일","15,921.6","15,973.6","15,998.6","15,909.4","966.81M","-0.33%"
"2021년 11월 16일","15,973.9","15,840.3","15,989.6","15,825.0","1.01B","0.76%"
"2021년 11월 15일","15,853.8","15,894.8","15,918.5","15,778.3","952.14M","-0.04%"
"2021년 11월 12일","15,861.0","15,752.6","15,874.6","15,705.4","988.93M","1.00%"
"2021년 11월 11일","15,704.3","15,752.1","15,768.0","15,695.8","867.11M","0.52%"
"2021년 11월 10일","15,622.7","15,753.8","15,867.2","15,543.7","989.63M","-1.66%"
"2021년 11월 09일","15,886.5","16,024.1","16,035.2","15,836.7","1.03B","-0.60%"
"2021년 11월 08일","15,982.4","15,995.7","16,038.2","15,961.8","1.06B","0.07%"
"2021년 11월 05일","15,971.6","16,003.6","16,053.4","15,900.8","1.06B","0.20%"
"2021년 11월 04일","15,940.3","15,849.7","15,966.1","15,827.7","1.02B","0.81%"
"2021년 11월 03일","15,811.6","15,658.5","15,821.6","15,616.4","1.00B","1.04%"
"2021년 11월 02일","15,649.6","15,584.0","15,656.6","15,569.3","997.88M","0.34%"
"2021년 11월 01일","15,595.9","15,541.3","15,598.9","15,470.8","1.00B","0.63%"
"2021년 10월 29일","15,498.4","15,323.3","15,504.1","15,323.3","1.06B","0.33%"
"2021년 10월 28일","15,448.1","15,304.7","15,452.3","15,290.3","1.06B","1.39%"
"2021년 10월 27일","15,235.8","15,276.0","15,364.5","15,235.8","1.09B","0.00%"
"2021년 10월 26일","15,235.7","15,317.5","15,384.0","15,198.2","1.22B","0.06%"
"2021년 10월 25일","15,226.7","15,142.9","15,259.6","15,070.8","1.09B","0.90%"
